Unnamed: 0,Work Location,Region,Year,Number,Origin_Latitude,Origin_Longitude,Local Attendee,Conference Location,Destination_Latitude,Destination_Longitude,Travel Distance (round trip km),Travel CO2 (tonnes),Travel Cost (USD)
108,Colombia,Other Americas,2019,1,2.8894433999999998,-73.78389200000001,0,"New Orleans, Louisiana",29.9499323,-90.0701156,6927.793579213234,1.1396248656562893,831.3352295055881
109,Czech Republic,Europe,2019,3,49.816700299999994,15.4749544,0,"New Orleans, Louisiana",29.9499323,-90.0701156,17037.225501047113,2.625969848592649,1788.908677609947
110,Germany,Europe,2019,75,51.0834196,10.4234469,0,"New Orleans, Louisiana",29.9499323,-90.0701156,16275.245967503699,2.5076633166504467,1708.9008265878888
111,Denmark,Europe,2019,5,55.670249,10.333328300000002,0,"New Orleans, Louisiana",29.9499323,-90.0701156,15810.304442002653,2.4359781750249385,1660.0819664102785
112,Estonia,Europe,2019,1,58.75237779999999,25.3319078,0,"New Orleans, Louisiana",29.9499323,-90.0701156,17005.406263297158,2.6210090554538064,1785.5676576462017
113,Egypt,Africa,2019,0,26.254049300000002,29.2675469,0,"New Orleans, Louisiana",29.9499323,-90.0701156,22061.257531415413,3.431625814848364,2018.6050641245104
114,Spain,Europe,2019,4,39.3262345,-4.838064900000001,0,"New Orleans, Louisiana",29.9499323,-90.0701156,15156.967596416453,2.335889837571333,1591.4815976237278
115,Ethiopia,Europe,2019,1,10.211670199999999,38.6521203,0,"New Orleans, Louisiana",29.9499323,-90.0701156,25890.22866992823,4.075510457887886,2368.955923298433
116,Finland,Europe,2019,6,63.2467777,25.9209164,0,"New Orleans, Louisiana",29.9499323,-90.0701156,16466.977795441973,2.537335659906462,1729.0326685214075
117,France,Europe,2019,59,46.603353999999996,1.8883334999999999,0,"New Orleans, Louisiana",29.9499323,-90.0701156,15561.98069198764,2.397847445131928,1634.007972658702
118,United Kingdom,Europe,2019,260,54.702354500000006,-3.2765752999999997,0,"New Orleans, Louisiana",29.9499323,-90.0701156,14274.110429624938,2.201835046317545,1498.7815951106186
119,Ghana,Africa,2019,1,8.0300284,-1.0800271000000001,0,"New Orleans, Louisiana",29.9499323,-90.0701156,18932.49642465954,2.924671226892921,1987.912124589252
120,Greece,Europe,2019,0,38.995368299999996,21.987713199999998,0,"New Orleans, Louisiana",29.9499323,-90.0701156,19234.07544826151,2.972784927616795,1759.917903515928
121,Guatemala,Other Americas,2019,0,15.635608800000002,-89.8988087,0,"New Orleans, Louisiana",29.9499323,-90.0701156,3183.556999567826,0.5921468069268128,611.2429439170226
122,Croatia,Europe,2019,0,45.5643442,17.0118954,0,"New Orleans, Louisiana",29.9499323,-90.0701156,17731.125647850833,2.734596402602312,1861.7681930243377
123,Hungary,Europe,2019,5,47.1817585,19.5060937,0,"New Orleans, Louisiana",29.9499323,-90.0701156,17852.877068548627,2.7537434751815506,1874.552092197606
124,Indonesia,Asia,2019,0,-2.4833826,117.89028529999999,0,"New Orleans, Louisiana",29.9499323,-90.0701156,31542.714155621477,5.073263812371274,2886.158345239365
125,Ireland,Europe,2019,1,52.865196,-7.9794599,0,"New Orleans, Louisiana",29.9499323,-90.0701156,13780.798087213758,2.127527714362893,1446.9837991574448
126,Israel,Middle East,2019,26,31.531311300000002,34.8667654,0,"New Orleans, Louisiana",29.9499323,-90.0701156,22086.54722790799,3.4357938008931983,2020.9190713535813
127,India,Asia,2019,11,22.3511148,78.6677428,0,"New Orleans, Louisiana",29.9499323,-90.0701156,28152.318498638393,4.468047315222682,2575.937142625413
128,Iraq,Middle East,2019,0,33.0955793,44.174977500000004,0,"New Orleans, Louisiana",29.9499323,-90.0701156,23022.91844731083,3.5909102659129615,2106.5970379289406
